"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1405_i_at","CCL5","6352","C-C motif chemokine ligand 5",-3.6491549662395,5.62669638649384,-6.28960078703337,7.35098850928385e-07,1.27913537120599e-05,5.8653567545672
"2","1552257_a_at","TTLL12","23170","tubulin tyrosine ligase like 12",-1.34050828485752,4.86440870821226,-3.12236568002185,0.00405418667068392,0.0127268674879868,-2.47667926830385
"3","1552263_at","MAPK1","5594","mitogen-activated protein kinase 1",0.945362243167755,5.29018974490428,1.91715748840035,0.0651583587580762,0.113822714974623,-4.99069390354514
"4","1552287_s_at","AFG3L1P","172","AFG3 like matrix AAA peptidase subunit 1, pseudogene",1.27478139127977,3.93967217726751,3.28017559585055,0.00271027597676688,0.00905743718394693,-2.09784769979773
"5","1552309_a_at","NEXN","91624","nexilin F-actin binding protein",-0.441157285262976,2.43667841413545,-0.921185012513014,0.364585273246993,0.451066732484864,-6.32837586265222
"6","1552310_at","C15orf40","123207","chromosome 15 open reading frame 40",0.496261256807431,3.71777798587258,0.903911905259473,0.373520557861759,0.459166410501803,-6.3440103157082
"7","1552316_a_at","GIMAP1","170575","GTPase, IMAP family member 1",-5.76646786885299,6.49341663636272,-11.7351413441232,1.64613868050259e-12,4.43030790212596e-10,18.5075320858299
"8","1552426_a_at","TM2D3","80213","TM2 domain containing 3",-1.27287290478655,3.80300048661505,-2.38307204447784,0.023968505670071,0.0518824972600946,-4.11218562585034
"9","1552582_at","ABCC13","150000","ATP binding cassette subfamily C member 13 (pseudogene)",0.77912701387767,4.44458199310401,1.06740622761167,0.294630119597643,0.382327802255123,-6.18495761470248
"10","1552628_a_at","HERPUD2","64224","HERPUD family member 2",-0.0862180508543702,4.86212543229935,-0.152022973017142,0.880225859998506,0.905112531027501,-6.74340418250223
"11","1552701_a_at","CARD16","114769","caspase recruitment domain family member 16",-2.08984075697863,5.75180849763383,-4.40166478497876,0.000134194064140614,0.000846986868215464,0.78148866583469
"12","1552719_at","CASC4","113201","cancer susceptibility 4",1.14771344895677,4.45325865298941,2.2825417966694,0.0300078792807552,0.0622837062500815,-4.31312197736248
"13","1552807_a_at","SIGLEC10","89790","sialic acid binding Ig like lectin 10",0.451017745740842,9.181242025365,0.996299090951948,0.327379588036148,0.415476704464612,-6.25715920229994
"14","1552846_s_at","RAB42","115273","RAB42, member RAS oncogene family",-3.97334518477219,5.88029141641436,-7.84974918085806,1.20788180647064e-08,4.55721388104857e-07,9.89120098746748
"15","1553043_a_at","CD300LF","146722","CD300 molecule like family member f",-1.77780602451787,3.16929456087458,-4.05934474591057,0.00034248015939704,0.00176351071873195,-0.123535851499682
"16","1553099_at","TIGD1","200765","tigger transposable element derived 1",0.0583894621657302,2.83150100206068,0.113507825983698,0.910413340220662,0.930229980883526,-6.74862107000792
"17","1553103_at","NFX1","4799","nuclear transcription factor, X-box binding 1",0.227271145442163,4.04796945898304,0.481153275616222,0.634033023767805,0.702798274835428,-6.63750371978577
"18","1553107_s_at","C5orf24","134553","chromosome 5 open reading frame 24",-0.567705705198188,3.9523429912647,-1.27388491292744,0.212860835845342,0.295095877166087,-5.94960639821518
"19","1553145_at","TAPT1-AS1","202020","TAPT1 antisense RNA 1 (head to head)",1.41924068776505,4.34049809751856,3.02362418073798,0.00519708164690966,0.0154952870078097,-2.70909433005365
"20","1553260_s_at","C2CD6","151254","C2 calcium dependent domain containing 6",1.056288796039,4.77710337350969,1.2081949787527,0.236772641412283,0.321022813195615,-6.02855913634718
"21","1553292_s_at","RSKR","124923","ribosomal protein S6 kinase related",0.836550499436157,2.23657271477695,2.38369891063717,0.0239345988893655,0.0518647212648246,-4.11091440136091
"22","1553335_x_at","BASP1-AS1","285696","BASP1 antisense RNA 1",0.456890180530305,3.14889316348693,0.940174257473095,0.354925833450347,0.441789092457969,-6.31086654985521
"23","1553447_at","AGBL1","123624","ATP/GTP binding protein like 1",1.09867551949041,3.59869665314799,2.37487206329142,0.0244160913414062,0.0527664672083816,-4.1287938636127
"24","1553471_at","SLC35G3","146861","solute carrier family 35 member G3",0.924520204929927,4.3220529987736,1.94552175211495,0.0615038046138155,0.109042977262175,-4.9412516472117
"25","1553551_s_at","ND2","4536","MTND2",-2.46184883576764,8.39181231095846,-6.19189337039838,9.58746068248875e-07,1.57191971865471e-05,5.60497469181728
"26","1553567_s_at","ATP6","4508","ATP synthase F0 subunit 6",-1.15698969760584,6.48111943554756,-2.55292635756158,0.0162309612918622,0.0382136719762393,-3.75981869509235
"27","1553569_at","COX2","4513","cytochrome c oxidase subunit II",-1.17853073945478,7.78886455513491,-2.61031502566092,0.01418927623844,0.0340155036666166,-3.63730836527026
"28","1553581_s_at","SREK1IP1","285672","SREK1 interacting protein 1",-0.857464473062559,4.18323188295988,-2.03254912099431,0.0513836200648754,0.0952413563828751,-4.78611999288335
"29","1553613_s_at","FOXC1","2296","forkhead box C1",-2.11236620857069,5.61270200616179,-2.72087208594836,0.010911842998566,0.0276182508998187,-3.39666366106789
"30","1553706_at","HTRA4","203100","HtrA serine peptidase 4",-3.3984820280812,7.87808599039255,-4.75766928338897,5.01894163286941e-05,0.000387445872639641,1.73619028000655
"31","1553713_a_at","RHEBL1","121268","RHEB like 1",-1.38785223804416,4.59751096737908,-2.83809764887066,0.00821847325397198,0.0220788278127238,-3.13518494244053
"32","1553857_at","IGSF22","283284","immunoglobulin superfamily member 22",-0.641823288971501,4.05864291888758,-1.46278596479288,0.154324413564316,0.227292104180644,-5.70207855277205
"33","1553858_at","ZBTB3","79842","zinc finger and BTB domain containing 3",-0.555493635556968,4.91635833784315,-1.27112376274811,0.213827576251392,0.29623264424395,-5.95300032947102
"34","1553873_at","KLHL34","257240","kelch like family member 34",1.06270165449454,3.83275839562697,1.86401770759115,0.0725141477253313,0.123937177970856,-5.08180873815918
"35","1553959_a_at","B3GALT6","126792","beta-1,3-galactosyltransferase 6",-1.89204966333473,7.78014775482959,-4.40575952394488,0.000132690163733785,0.000843575103926439,0.792404406788435
"36","1553979_at","ZNF121","7675","zinc finger protein 121",0.331165391312116,2.67716032131755,0.761826650512861,0.452340296859976,0.536298907026057,-6.46192712579753
"37","1554078_s_at","DNAJA3","9093","DnaJ heat shock protein family (Hsp40) member A3",-0.15557112792335,8.43177404306998,-0.362857597814482,0.719353490475155,0.778416232119399,-6.68814423567308
"38","1554080_at","CNOT9","9125","CCR4-NOT transcription complex subunit 9",0.44035176495107,3.41076031962729,0.822617808196251,0.417465933240153,0.502627489558753,-6.41382314852145
"39","1554085_at","DDX51","317781","DEAD-box helicase 51",-0.107647588712224,4.37102880083159,-0.263019005127511,0.794403290320506,0.838432962882061,-6.7199275313067
"40","1554167_a_at","GOLGA7","51125","golgin A7",-0.114572877630718,3.2643098165705,-0.286902576311787,0.7762352706833,0.823780701300863,-6.71324122138387
"41","1554239_s_at","ZADH2","284273","zinc binding alcohol dehydrogenase domain containing 2",-0.662050861826888,4.50011148795879,-1.87041905049527,0.0715916939882943,0.122672185327141,-5.07093845050375
"42","1554356_at","GINS4","84296","GINS complex subunit 4",0.673734089334416,3.66129874505931,1.64666993385023,0.110466134232109,0.173724886597204,-5.43312929207323
"43","1554455_at","LINS1","55180","lines homolog 1",-0.981912933934798,4.90196478452884,-1.59681515541803,0.121192478174229,0.18661945608698,-5.508686072134
"44","1554595_at","SYMPK","8189","symplekin",0.874084112552504,8.27326311406311,1.94019479859983,0.0621762155243481,0.109945414836528,-4.95057962631306
"45","1554667_s_at","METTL8","79828","methyltransferase like 8",-1.38421225292099,3.86804641482157,-2.48729952231795,0.0188968588760967,0.0430026038798209,-3.89781471853021
"46","1554703_at","ARHGEF10","9639","Rho guanine nucleotide exchange factor 10",0.442741923652332,3.91346790715971,1.13188298058321,0.266994529820854,0.351807279191563,-6.1155263301429
"47","1555136_at","FGD6","55785","FYVE, RhoGEF and PH domain containing 6",2.27323090767382,3.80788602710571,4.14333415442815,0.000272443632481507,0.00147002778678526,0.0969776351998783
"48","1555225_at","C1orf43","25912","chromosome 1 open reading frame 43",-0.749478212539962,3.22080976433147,-1.35807757409334,0.18495486347976,0.262909430939363,-5.84298800730689
"49","1555372_at","BCL2L11","10018","BCL2 like 11",0.402988846426384,6.3383207410781,0.612623411150104,0.54491945730341,0.622124488274382,-6.56487699876094
"50","1555374_at","TTL","150465","tubulin tyrosine ligase",0.49117363447639,5.13806512228241,1.03954239021809,0.307177702127984,0.395100875048796,-6.21380014181671
"51","1555420_a_at","KLF7","8609","Kruppel like factor 7",0.00721393381147672,2.95665529005312,0.0137915530105041,0.989091115355974,0.99193695392193,-6.75509893495859
"52","1555480_a_at","FBLIM1","54751","filamin binding LIM protein 1",0.570887965911756,3.79132489157409,1.1897596229114,0.243830110075844,0.327895454489068,-6.05003975116591
"53","1555495_a_at","CWC27","10283","CWC27 spliceosome associated cyclophilin",0.377598131580398,3.65028851934511,0.768468406091149,0.448447618388682,0.532465598657385,-6.45684360859124
"54","1555575_a_at","KDELR1","10945","KDEL endoplasmic reticulum protein retention receptor 1",-0.975278613775804,7.29459253487163,-2.71417552944092,0.0110882930622622,0.0279596746360727,-3.41140822535613
"55","1555579_s_at","PTPRM","5797","protein tyrosine phosphatase receptor type M",-2.44524306723589,3.03781454304917,-6.07583260614275,1.31572781150687e-06,1.9968395394937e-05,5.29474957315074
"56","1555689_at","CD80","941","CD80 molecule",-0.915108082196885,3.7424148704705,-1.44198855739768,0.160062811938118,0.234290635168304,-5.73078781596282
"57","1555758_a_at","CDKN3","1033","cyclin dependent kinase inhibitor 3",1.14235485097906,3.19194775370849,2.90760896013804,0.00693105696194996,0.0193236719305193,-2.97723602368425
"58","1555832_s_at","KLF6","1316","Kruppel like factor 6",-1.2428907071718,5.19094676330954,-2.68342541763119,0.0119332985770204,0.0298110930417273,-3.47883911193208
