"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1405_i_at","CCL5","6352","C-C motif chemokine ligand 5",-5.47219408514313,5.62669638649384,-11.2065885388467,4.94008707307092e-12,2.93281345793931e-10,17.5250546157819
"2","1552257_a_at","TTLL12","23170","tubulin tyrosine ligase like 12",-0.557656492075556,4.86440870821226,-1.54334203488799,0.13363558411604,0.161571384569168,-5.75655236397901
"3","1552263_at","MAPK1","5594","mitogen-activated protein kinase 1",0.741023120402028,5.29018974490428,1.78555180817871,0.0846780289093748,0.1069603262538,-5.38002699932243
"4","1552287_s_at","AFG3L1P","172","AFG3 like matrix AAA peptidase subunit 1, pseudogene",1.85066631370645,3.93967217726751,5.65810051116431,4.14288637404432e-06,2.1126317912927e-05,4.06135555125018
"5","1552309_a_at","NEXN","91624","nexilin F-actin binding protein",-0.715466630605888,2.43667841413545,-1.77510460699378,0.0864219370992387,0.10882263258566,-5.39718680850318
"6","1552310_at","C15orf40","123207","chromosome 15 open reading frame 40",0.366740935966263,3.71777798587258,0.793699825000269,0.43384335149452,0.471193330638519,-6.60966974857576
"7","1552316_a_at","GIMAP1","170575","GTPase, IMAP family member 1",-5.78955820973412,6.49341663636272,-13.9992585120835,2.11323330047133e-14,5.01830754941338e-12,22.8099055808519
"8","1552426_a_at","TM2D3","80213","TM2 domain containing 3",-0.575718172604761,3.80300048661505,-1.28068767060556,0.21049321621664,0.24390387883656,-6.11170141380893
"9","1552582_at","ABCC13","150000","ATP binding cassette subfamily C member 13 (pseudogene)",0.569626973415088,4.44458199310401,0.927242173211347,0.361485496454264,0.399484519350086,-6.49488676256541
"10","1552628_a_at","HERPUD2","64224","HERPUD family member 2",-0.0978094755787078,4.86212543229935,-0.204914698586651,0.839076152205148,0.85636216427377,-6.90748933477093
"11","1552701_a_at","CARD16","114769","caspase recruitment domain family member 16",-1.46888279142762,5.75180849763383,-3.67597097444231,0.000961172680307982,0.00210084142414906,-1.26009814970288
"12","1552719_at","CASC4","113201","cancer susceptibility 4",1.27579156395831,4.45325865298941,3.01471425398876,0.00531408624664915,0.00919150221839015,-2.88538457434512
"13","1552807_a_at","SIGLEC10","89790","sialic acid binding Ig like lectin 10",0.650288865229282,9.181242025365,1.70680372493098,0.0985904067500169,0.122690959324852,-5.50736985142333
"14","1552846_s_at","RAB42","115273","RAB42, member RAS oncogene family",-2.84639749684241,5.88029141641436,-6.68153415936079,2.5548086462075e-07,2.19441755419993e-06,6.81637790507516
