"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-68882","Mitotic Anaphase","47/1194","199/10571",5.41523827447098e-07,0.000269330683995952,0.000212965394928204,"MAPRE1/PSMB7/PSMB1/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/RANBP2/BIRC5/NUP133/PPP2R2A/PSMD12/PSMD6/CDC23/KIF2A/PPP2R5E/MAD2L1/PTTG1/BUB1B/VRK2/ANAPC5/XPO1/SMC3/NSL1/PSMC5/CDC16/SPC25/TUBA1C/ANKLE2/TUBA4A/WAPL/PSMD14/TUBA1B/CLASP1/TUBB2B/DYNC1LI1/LEMD3/NUP107/PSMD10/SEH1L/ZWILCH/HDAC8/TAOK1/ANAPC7/CENPN/ANAPC16",47
"R-HSA-2555396","Mitotic Metaphase and Anaphase","47/1194","200/10571",6.32204603138367e-07,0.000269330683995952,0.000212965394928204,"MAPRE1/PSMB7/PSMB1/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/RANBP2/BIRC5/NUP133/PPP2R2A/PSMD12/PSMD6/CDC23/KIF2A/PPP2R5E/MAD2L1/PTTG1/BUB1B/VRK2/ANAPC5/XPO1/SMC3/NSL1/PSMC5/CDC16/SPC25/TUBA1C/ANKLE2/TUBA4A/WAPL/PSMD14/TUBA1B/CLASP1/TUBB2B/DYNC1LI1/LEMD3/NUP107/PSMD10/SEH1L/ZWILCH/HDAC8/TAOK1/ANAPC7/CENPN/ANAPC16",47
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","54/1194","243/10571",6.38224369658654e-07,0.000269330683995952,0.000212965394928204,"SYMPK/CWC27/POLR2B/SMNDC1/EIF4E/DDX39A/RANBP2/NUP153/NUP133/DDX46/CHTOP/BCAS2/SNRPE/CDC40/CSTF3/SNRPG/BUD31/SRRM2/YBX1/SRSF6/CDC5L/METTL3/SF1/SF3B1/SRSF1/U2SURP/NUP205/SRSF5/DNAJC8/HNRNPH1/SRSF7/NUP50/PRPF40A/RBM22/THOC7/NUP107/CRNKL1/SEH1L/CWC15/PPIL3/CCAR1/RBM17/SARNP/CPSF3/HNRNPA2B1/HNRNPC/MTREX/SLU7/AQR/WTAP/RBM5/SRSF3/SNRNP200/NUP58",54
"R-HSA-2990846","SUMOylation","44/1194","187/10571",1.38372901083356e-06,0.000350680356592283,0.000277290279470576,"NPM1/PCNA/DNMT1/RANBP2/BIRC5/NUP153/NUP133/SP100/MDC1/CTBP1/SATB1/TDG/AURKA/VDR/WRN/BLM/UBE2I/SUMO1/TOP1/NCOA1/CETN2/SMC3/RAD52/TRIM27/NUP205/SUZ12/NCOA2/SENP5/NUP50/DDX17/PIAS1/NUP107/SMC6/NSMCE4A/SEH1L/NOP58/HIPK2/RORA/RNF168/HNRNPC/THRB/MDM2/SIN3A/NUP58",44
"R-HSA-3108232","SUMO E3 ligases SUMOylate target proteins","43/1194","181/10571",1.3849935094482e-06,0.000350680356592283,0.000277290279470576,"NPM1/PCNA/DNMT1/RANBP2/BIRC5/NUP153/NUP133/SP100/MDC1/CTBP1/SATB1/TDG/AURKA/VDR/WRN/BLM/UBE2I/SUMO1/TOP1/NCOA1/CETN2/SMC3/RAD52/TRIM27/NUP205/SUZ12/NCOA2/NUP50/DDX17/PIAS1/NUP107/SMC6/NSMCE4A/SEH1L/NOP58/HIPK2/RORA/RNF168/HNRNPC/THRB/MDM2/SIN3A/NUP58",43
"R-HSA-2467813","Separation of Sister Chromatids","43/1194","188/10571",4.00416495265614e-06,0.000844878805010446,0.000668063310522104,"MAPRE1/PSMB7/PSMB1/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/RANBP2/BIRC5/NUP133/PSMD12/PSMD6/CDC23/KIF2A/PPP2R5E/MAD2L1/PTTG1/BUB1B/ANAPC5/XPO1/SMC3/NSL1/PSMC5/CDC16/SPC25/TUBA1C/TUBA4A/WAPL/PSMD14/TUBA1B/CLASP1/TUBB2B/DYNC1LI1/NUP107/PSMD10/SEH1L/ZWILCH/HDAC8/TAOK1/ANAPC7/CENPN/ANAPC16",43
"R-HSA-68886","M Phase","73/1194","391/10571",8.39428557329305e-06,0.00151816650511272,0.00120044595191003,"MAPK1/MCPH1/FGFR1OP/MAPRE1/PSMB7/PSMB1/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/RANBP2/USO1/BIRC5/NUP153/NUP133/PPP2R2A/PSMD12/PSMD6/CDC23/KIF2A/PPP2R5E/MAD2L1/PTTG1/PCNT/BUB1B/PLK4/VRK2/ANAPC5/RAB1A/RAB2A/XPO1/CETN2/SMC3/NSL1/PSMC5/CDC16/SPC25/HIST1H2BD/HSP90AA1/AKAP9/YWHAE/TUBA1C/ANKLE2/TUBA4A/NUP205/WAPL/PSMD14/TUBA1B/CLASP1/NCAPD3/NUP50/H3F3A/H2AFZ/NIPBL/TUBB2B/CEP131/DYNC1LI1/LEMD3/NUP107/PSMD10/ARPP19/SEH1L/ZWILCH/NEK6/HDAC8/TAOK1/ANAPC7/CENPN/ANAPC16/CNEP1R1/NUP58/GOLGA2",73
"R-HSA-5357801","Programmed Cell Death","40/1194","178/10571",1.34850843479829e-05,0.0021340145980683,0.00168740989670155,"MAPK1/BCL2L11/TRADD/FNTA/YWHAZ/GSN/PSMB7/PSMB1/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/KPNA1/BIRC2/PSMD12/PSMD6/SATB1/TFDP2/PMAIP1/BID/FAS/CARD8/PPP3CC/PAK2/MAGED1/HIST1H1C/PSMC5/BIRC3/YWHAE/PSMD14/YWHAQ/KPNB1/OPA1/SPTAN1/YWHAB/STK26/PSMD10/DFFA/XIAP",40
"R-HSA-3700989","Transcriptional Regulation by TP53","68/1194","365/10571",1.83729162535747e-05,0.00224327245486575,0.00177380236515949,"CNOT9/POLR2B/TNRC6B/TAF10/NPM1/YWHAZ/TAF7/PCNA/TXNRD1/BIRC5/GTF2H1/MLH1/NBN/MDC1/RFC5/CNOT4/TFDP2/AURKA/CCNH/PMAIP1/SURF1/BID/PDPK1/FAS/CHEK1/WRN/BLM/GPI/RAD50/PLAGL1/ATR/TPX2/YWHAE/CDK7/MAPK11/RBL2/YWHAQ/SMYD2/ATF2/CCNA2/RHEB/CDK12/CCNT2/YWHAB/AGO1/TRIAP1/STEAP3/RGCC/TIGAR/AGO3/BNIP3L/PERP/CNOT6/RRAGC/COX20/CNOT7/HIPK2/NELFCD/TP53RK/CCNT1/TP53INP1/TAF13/MDM2/CDK13/SLC38A9/JMY/ZNF420/PRDX2",68
"R-HSA-109581","Apoptosis","39/1194","175/10571",2.1094111831488e-05,0.00224327245486575,0.00177380236515949,"MAPK1/BCL2L11/TRADD/FNTA/YWHAZ/GSN/PSMB7/PSMB1/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/KPNA1/BIRC2/PSMD12/PSMD6/SATB1/TFDP2/PMAIP1/BID/FAS/CARD8/PPP3CC/PAK2/MAGED1/HIST1H1C/PSMC5/YWHAE/PSMD14/YWHAQ/KPNB1/OPA1/SPTAN1/YWHAB/STK26/PSMD10/DFFA/XIAP",39
