"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-6798695","Neutrophil degranulation","61/810","477/10571",4.4088661185655e-05,0.0305827803730514,0.0271581978621423,"MAPK1/GOLGA7/COTL1/PTPRB/HSP90AB1/GSN/ACTR2/PSMB7/PRDX6/CCT8/PSMB1/SDCBP/PSMC2/PGRMC1/IDH1/DDX3X/PSMA2/ATP6AP2/LPCAT1/CCT2/CTSH/PSMD12/VAMP8/ADAM10/ITGB2/GAA/SIRPA/CTSS/PTPRN2/HEBP2/PSEN1/GGH/CYBB/EEF1A1/ORM1/CD58/VNN1/TNFAIP6/DSC1/GPI/HUWE1/LTA4H/ATP6V1D/CD47/GYG1/RAB7A/ATP6V0A1/SPTAN1/TMEM30A/DYNC1LI1/C5AR1/RAB10/CMTM6/RAB18/MAGT1/NRAS/RAB24/DNAJC3/ATP11A/CDK13/RAB27A",61
"R-HSA-1428517","The citric acid (TCA) cycle and respiratory electron transport","29/810","174/10571",5.33145011389091e-05,0.0305827803730514,0.0271581978621423,"ATP6/LRPPRC/LDHA/GLO1/ACO2/ATP5PO/UQCRC2/COX6A1/PDHA1/CYC1/SDHD/IDH3A/NDUFS1/PDHX/SURF1/SLC25A14/DLD/IDH2/LDHB/NDUFA10/SUCLG1/MPC1/NDUFA8/NDUFB4/TMEM126B/NDUFAF7/COX20/PDPR/NDUFA11",29
"R-HSA-382556","ABC-family proteins mediated transport","20/810","103/10571",8.9804783785309e-05,0.0305827803730514,0.0271581978621423,"ABCB4/PSMB7/PSMB1/PSME3/PSMC2/EIF2S1/PSMA2/PSMA1/PSMC6/PSMD12/ABCC1/ABCD3/PEX3/PSMB8/ABCC5/PSMC5/PSMD10/ABCA7/DERL1/ERLEC1",20
"R-HSA-3700989","Transcriptional Regulation by TP53","48/810","365/10571",0.000146879083523513,0.0305827803730514,0.0271581978621423,"CNOT9/LRPPRC/TNRC6B/PRMT5/TAF10/COX6A1/TXNRD1/SGK1/GTF2H1/RFC5/AURKA/CCNH/PMAIP1/SURF1/BID/NUAK1/FAS/CHEK1/CDKN2A/GPI/PRDX1/PLAGL1/IGFBP3/TP53I3/YWHAE/CDK7/YWHAQ/SMYD2/RHEB/CCNT2/TRIAP1/RGCC/TIGAR/RRAGC/AIFM2/COX20/HIPK2/TP53RK/CCNT1/TP53INP1/TAF13/TNFRSF10D/PRDM1/MDM2/CDK13/SLC38A9/TNFRSF10A/ZNF420",48
"R-HSA-1236975","Antigen processing-Cross presentation","19/810","99/10571",0.000157150967909568,0.0305827803730514,0.0271581978621423,"PSMB7/PSMB1/PSME3/PSMC2/PSMA2/VAMP3/PSMA1/PSMC6/PSMD12/VAMP8/CTSS/CYBB/LY96/NCF4/PSMB8/PSMC5/PSMD10/TAP2/MRC2",19
"R-HSA-5620922","BBSome-mediated cargo-targeting to cilium","8/810","23/10571",0.000199154691810632,0.0305827803730514,0.0271581978621423,"CCT8/CCT4/CCT2/CCT5/BBS4/BBIP1/MKKS/RAB3IP",8
"R-HSA-71406","Pyruvate metabolism and Citric Acid (TCA) cycle","13/810","55/10571",0.000201368101221738,0.0305827803730514,0.0271581978621423,"LDHA/GLO1/ACO2/PDHA1/SDHD/IDH3A/PDHX/DLD/IDH2/LDHB/SUCLG1/MPC1/PDPR",13
"R-HSA-8941858","Regulation of RUNX3 expression and activity","13/810","55/10571",0.000201368101221738,0.0305827803730514,0.0271581978621423,"PSMB7/PSMB1/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/PSMD12/CDKN2A/PSMB8/PSMC5/PSMD10/MDM2",13
"R-HSA-69541","Stabilization of p53","13/810","57/10571",0.000294494924509904,0.0332575178378514,0.0295334249805482,"PSMB7/PSMB1/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/PSMD12/CDKN2A/PSMB8/PSMC5/PSMD10/MDM2",13
"R-HSA-1236978","Cross-presentation of soluble exogenous antigens (endosomes)","12/810","50/10571",0.000301925695307344,0.0332575178378514,0.0295334249805482,"PSMB7/PSMB1/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/PSMD12/PSMB8/PSMC5/PSMD10/MRC2",12
"R-HSA-5633008","TP53 Regulates Transcription of Cell Death Genes","11/810","44/10571",0.000366209040275654,0.0332575178378514,0.0295334249805482,"PMAIP1/BID/FAS/IGFBP3/TP53I3/TRIAP1/AIFM2/TP53INP1/TNFRSF10D/TNFRSF10A/ZNF420",11
"R-HSA-350562","Regulation of ornithine decarboxylase (ODC)","12/810","51/10571",0.000367753552705757,0.0332575178378514,0.0295334249805482,"PSMB7/PSMB1/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/PSMD12/PSMB8/PSMC5/NQO1/PSMD10",12
"R-HSA-9013694","Signaling by NOTCH4","16/810","82/10571",0.00041884122202437,0.0332575178378514,0.0295334249805482,"PSMB7/PSMB1/ACTA2/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/PSMD12/NOTCH2/ADAM10/PSEN1/PSMB8/PSMC5/PSENEN/PSMD10",16
"R-HSA-69601","Ubiquitin Mediated Degradation of Phosphorylated Cdc25A","12/810","52/10571",0.000445317478349758,0.0332575178378514,0.0295334249805482,"PSMB7/PSMB1/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/PSMD12/CHEK1/PSMB8/PSMC5/PSMD10",12
"R-HSA-69610","p53-Independent DNA Damage Response","12/810","52/10571",0.000445317478349758,0.0332575178378514,0.0295334249805482,"PSMB7/PSMB1/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/PSMD12/CHEK1/PSMB8/PSMC5/PSMD10",12
"R-HSA-69613","p53-Independent G1/S DNA damage checkpoint","12/810","52/10571",0.000445317478349758,0.0332575178378514,0.0295334249805482,"PSMB7/PSMB1/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/PSMD12/CHEK1/PSMB8/PSMC5/PSMD10",12
"R-HSA-5357801","Programmed Cell Death","27/810","178/10571",0.000465331525303271,0.0332575178378514,0.0295334249805482,"MAPK1/TRADD/GSN/PSMB7/PSMB1/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/KPNA1/BIRC2/TJP2/PSMD12/SATB1/PMAIP1/BID/FAS/LY96/PSMB8/PSMC5/BIRC3/YWHAE/YWHAQ/SPTAN1/PSMD10/TNFRSF10A",27
"R-HSA-69615","G1/S DNA Damage Checkpoints","14/810","68/10571",0.000536711468892021,0.0354694573105309,0.0314976770572183,"PSMB7/PSMB1/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/PSMD12/CHEK1/CDKN2A/PSMB8/PSMC5/PSMD10/MDM2",14
"R-HSA-5678895","Defective CFTR causes cystic fibrosis","13/810","61/10571",0.000593765575511178,0.0354694573105309,0.0314976770572183,"PSMB7/PSMB1/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/PSMD12/PSMB8/PSMC5/PSMD10/DERL1/ERLEC1",13
"R-HSA-5619084","ABC transporter disorders","15/810","77/10571",0.000639474142888864,0.0354694573105309,0.0314976770572183,"ABCB4/PSMB7/PSMB1/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/PSMD12/ABCA1/PSMB8/PSMC5/PSMD10/DERL1/ERLEC1",15
"R-HSA-8852276","The role of GTSE1 in G2/M progression after G2 checkpoint","15/810","77/10571",0.000639474142888864,0.0354694573105309,0.0314976770572183,"HSP90AB1/MAPRE1/PSMB7/PSMB1/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/PSMD12/TUBB2A/PSMB8/PSMC5/TUBA1C/PSMD10",15
"R-HSA-8854050","FBXL7 down-regulates AURKA during mitotic entry and in early mitosis","12/810","54/10571",0.000642245317556938,0.0354694573105309,0.0314976770572183,"PSMB7/PSMB1/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/PSMD12/AURKA/PSMB8/PSMC5/PSMD10",12
"R-HSA-983705","Signaling by the B Cell Receptor (BCR)","19/810","112/10571",0.000799478401740555,0.0409764546262695,0.0363880147211837,"CALM3/PSMB7/AHCYL1/PSMB1/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/PSMD12/PPP3CA/PSMB8/PSMC5/FYN/NCK1/PSMD10/DAPP1/GRB2/NRAS",19
"R-HSA-109581","Apoptosis","26/810","175/10571",0.000809411449407793,0.0409764546262695,0.0363880147211837,"MAPK1/TRADD/GSN/PSMB7/PSMB1/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/KPNA1/BIRC2/TJP2/PSMD12/SATB1/PMAIP1/BID/FAS/LY96/PSMB8/PSMC5/YWHAE/YWHAQ/SPTAN1/PSMD10/TNFRSF10A",26
"R-HSA-5362768","Hh mutants that don't undergo autocatalytic processing are degraded by ERAD","12/810","56/10571",0.000907404608623826,0.044099863979118,0.0391616725827125,"PSMB7/PSMB1/PSME3/PSMC2/PSMA2/PSMA1/PSMC6/PSMD12/PSMB8/PSMC5/PSMD10/ERLEC1",12
