"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-6798695","Neutrophil degranulation","142/1916","477/10571",1.51870403371786e-10,2.05328785358654e-07,1.75370349998788e-07,"MAPK1/GOLGA7/COTL1/SERPINB6/PTPRB/RHOA/MLEC/CAP1/S100A11/CD63/GRN/GSN/NPC2/ACTR2/PSMB7/RAP1B/CTSB/PRDX6/PSAP/CCT8/PSMB1/CD59/CKAP4/STOM/PGRMC1/CSTB/PSMA2/COPB1/CST3/IGF2R/ATP6AP2/QSOX1/CTSC/PRCP/PNP/LPCAT1/PRDX4/HEXB/CCT2/DYNLT1/MVP/CTSH/FABP5/ITGAV/PSMD12/SLC2A3/VAMP8/PSMD6/ITGB2/GAA/SIRPA/ADGRE5/S100A8/PTPRN2/TIMP2/APRT/HEBP2/MME/PSEN1/GGH/EEF2/TYROBP/FCER1G/TMC6/FGL2/EEF1A1/TLR2/FPR1/CD58/QPCT/ADAM8/ITGAM/HK3/TNFAIP6/CD33/DSC1/GPI/FGR/HUWE1/VAT1/ATP6V1D/CYFIP1/LGALS3/PECAM1/HLA-B/MAN2B1/C3AR1/CD300A/CTSZ/ITGAX/LAIR1/PLAUR/CD47/GYG1/SERPINA1/SERPINB1/PSMD14/GNS/ATP6V0A1/FTL/ATP8A1/DOCK2/ANXA2/KPNB1/GLIPR1/FTH1/HLA-C/SPTAN1/B2M/C3/YPEL5/CAB39/DYNC1LI1/HGSNAT/PDXK/NIT2/RAP2C/PLAC8/RHOF/ADA2/PYCARD/SURF4/RAB10/CMTM6/BRI3/GPR84/RAB18/ARHGAP9/CYSTM1/DPP7/TMEM173/NRAS/SLC15A4/RAB24/DNAJC3/PGM2/SVIP/PTPRJ/LRG1/CDK13/RNASET2/ATP6V0C",142
"R-HSA-909733","Interferon alpha/beta signaling","33/1916","69/10571",1.50477756192741e-08,1.01722963186293e-05,8.68811044965458e-06,"HLA-E/IFITM2/ABCE1/MX1/IFI27/PTPN1/GBP2/OAS1/IRF8/IFI6/SAMHD1/ISG20/HLA-F/ISG15/PSMB8/HLA-B/IFI35/STAT1/SOCS1/HLA-G/IFITM1/HLA-C/HLA-A/IP6K2/IFNAR1/IFNAR2/EGR1/SOCS3/IFIT3/IRF1/IRF5/XAF1/RSAD2",33
"R-HSA-913531","Interferon Signaling","68/1916","199/10571",3.52874945402642e-08,1.59028975394791e-05,1.35825900037438e-05,"HLA-E/IFITM2/EIF4E/UBE2L6/RANBP2/TPR/ABCE1/ARIH1/KPNA1/MX1/NUP133/IFI27/ICAM1/PTPN1/GBP2/SP100/OAS1/TRIM38/IRF8/IFI6/SAMHD1/ISG20/HLA-F/ISG15/SUMO1/HLA-DRA/PSMB8/HLA-B/PPM1B/IFI35/HLA-DQB1/HLA-DRB4/STAT1/SOCS1/HLA-G/KPNA2/NUP205/NCAM1/TRIM22/HLA-DPA1/KPNA4/KPNB1/NUP50/HLA-DQA1/IFITM1/HLA-C/FCGR1B/HLA-A/HLA-DQB2/B2M/HERC5/NUP210/KPNA3/TRIM8/IP6K2/TRIM25/CAMK2D/IFNAR1/IFNAR2/EGR1/SOCS3/IFIT3/GBP5/NDC1/IRF1/IRF5/XAF1/RSAD2",68
"R-HSA-3700989","Transcriptional Regulation by TP53","105/1916","365/10571",2.72234561654521e-07,9.20152818392282e-05,7.85898195092131e-05,"COX2/CNOT9/POLR2B/LRPPRC/TNRC6B/PRMT5/TAF10/NPM1/NDRG1/COX6A1/RBBP7/PCNA/HDAC1/USP7/RPA1/COX6C/BIRC5/COX7B/CREBBP/CDKN1A/GTF2H1/ELOC/DDIT4/NBN/MDC1/GLS/RFC5/CNOT4/RBBP8/PTEN/AURKA/CCNH/RFC3/PMAIP1/SURF1/PDPK1/BRCA1/NUAK1/FAS/SCO2/CHEK1/WRN/GPI/RAD50/PPP2CA/PRDX1/CCNG1/TXN/TNFRSF10B/POLR2H/TSC1/TPX2/IGFBP3/TP53I3/YWHAE/CDK7/CASP1/MAPK11/COX11/RBL2/YWHAQ/AKT3/PIP4K2A/SMYD2/ATF2/FANCI/CCNA2/COX5B/CCNT2/COX7C/TCEA1/AGO1/TRIAP1/STEAP3/RMI1/TIGAR/AGO3/E2F8/BCL2L14/BNIP3L/CNOT2/CNOT6/RRAGC/PRELID1/AIFM2/COX20/HIPK2/NELFCD/TP53RK/EHMT1/CCNT1/TP53INP1/CASP2/RMI2/TNFRSF10D/BARD1/CCNB1/MDM2/CDK13/SLC38A9/RBBP4/TNFRSF10A/JMY/SFN/PRR5",105
"R-HSA-1236975","Antigen processing-Cross presentation","39/1916","99/10571",5.15707971170049e-07,0.000139447435404381,0.000119101398815483,"PSMB7/PSMB1/HLA-E/PSME3/ITGB5/PSMA2/VAMP3/PSMA1/PSMC6/TAP1/ITGAV/PSMD12/VAMP8/PSMD6/SEC61B/SEC61G/PSMB9/HLA-F/TLR2/LY96/NCF4/PSMB5/PSMB8/HLA-B/PSMC5/NCF2/HLA-G/PSMD14/CALR/HLA-C/FCGR1B/HLA-A/PSMA7/B2M/PSMD10/SEC61A2/LNPEP/STX4/MRC2",39
"R-HSA-68886","M Phase","108/1916","391/10571",1.6099042381425e-06,0.00036276508832811,0.000309835956007425,"MAPK1/MCPH1/FGFR1OP/MAPRE1/PSMB7/PSMB1/PSME3/PSMA2/SMC4/PSMA1/PSMC6/RANBP2/TPR/NCAPD2/USO1/BIRC5/PCM1/NUP133/STAG1/PPP2R2A/PSMD12/CCNB2/PSMD6/CDC20/CDC23/KIF2A/RB1/PPP2R5E/LMNA/CEP57/PTTG1/OFD1/PCNT/VRK1/NDC80/SMC2/PSMB9/KIF23/PLK4/VRK2/ITGB3BP/PDS5B/PPP2CA/RAB1A/RAB2A/XPO1/PSMB5/STAG2/PSMB8/TUBA1A/CENPF/CETN2/SMC3/NSL1/PSMC5/BUB1/CDC16/HIST1H2BK/SPC25/HIST1H2BD/YWHAE/TUBA1C/ANKLE2/H2AFV/TUBA4A/NUP205/LPIN1/PSMD14/TUBA1B/CLASP1/NCAPD3/NUP50/H3F3A/H2AFZ/NIPBL/ALMS1/CEP131/HIST1H2AC/PSMA7/DYNC1LI1/LEMD3/NCAPG/KIF20A/CEP192/CENPU/CEP63/PSMD10/NUP210/ARPP19/ZWILCH/HAUS6/HDAC8/TAOK1/H2AFJ/HAUS1/ANAPC7/SKA2/HAUS8/NDE1/KNL1/CENPN/CCNB1/SGO2/CDK5RAP2/NDC1/CNEP1R1/CEP152/GOLGA2",108
"R-HSA-983170","Antigen Presentation: Folding, assembly and peptide loading of class I MHC","15/1916","25/10571",3.70611906626162e-06,0.000715810425369388,0.000611370318148722,"CANX/BCAP31/HLA-E/SEC31A/TAP1/SEC24B/HLA-F/HLA-B/ERAP1/HLA-G/HSPA5/CALR/HLA-C/HLA-A/B2M",15
"R-HSA-8953750","Transcriptional Regulation by E2F6","18/1916","34/10571",4.69318882590462e-06,0.000793148911577881,0.000677424755528602,"CBX3/RBBP7/RYBP/RBBP8/EZH2/CDC7/BRCA1/RAD51/CHEK1/EED/RRM2/SUZ12/EHMT1/CBX5/PHC3/MGA/EPC1/RBBP4",18
"R-HSA-1236974","ER-Phagosome pathway","32/1916","83/10571",9.08405873898383e-06,0.00129101172163513,0.00110264704035638,"PSMB7/PSMB1/HLA-E/PSME3/PSMA2/VAMP3/PSMA1/PSMC6/TAP1/PSMD12/VAMP8/PSMD6/SEC61B/SEC61G/PSMB9/HLA-F/TLR2/LY96/PSMB5/PSMB8/HLA-B/PSMC5/HLA-G/PSMD14/CALR/HLA-C/HLA-A/PSMA7/B2M/PSMD10/SEC61A2/STX4",32
"R-HSA-983169","Class I MHC mediated antigen processing & presentation","100/1916","369/10571",9.54890326653204e-06,0.00129101172163513,0.00110264704035638,"TRIM69/CANX/UBE2D3/PSMB7/BCAP31/PSMB1/HLA-E/SEC31A/PSME3/ITGB5/ARIH2/WSB1/PSMA2/VAMP3/UBE2D2/TRIP12/UBE2L6/PSMA1/PSMC6/UBAC1/TAP1/ITGAV/PSMD12/VAMP8/PSMD6/SEC24B/ELOC/CDC20/CDC23/SIAH1/SEC61B/RNF6/SEC61G/PSMB9/HLA-F/TLR2/LY96/NCF4/HUWE1/PSMB5/PSMB8/UBA3/HLA-B/PSMC5/CDC16/NCF2/SOCS1/ERAP1/HLA-G/RNF114/HSPA5/PSMD14/UFL1/UBR2/CALR/FBXO9/TRIM37/DZIP3/UBE3B/RCHY1/HLA-C/FCGR1B/HLA-A/PSMA7/B2M/RNF130/HERC2/BTBD1/RNF138/ASB13/PSMD10/SEC61A2/SPSB1/HERC5/ASB6/RBCK1/FBXO11/UBE2W/UBE2R2/RNF19A/ZNRF1/TRIM4/HECTD1/LNPEP/DTX3L/ANAPC7/FBXO22/UBE2F/KLHL5/UBR1/FBXL16/SOCS3/MYLIP/STX4/RNF213/FBXO6/KCTD6/KBTBD8/MIB2/MRC2",100
