"","cHL1","cHL2","cHL3","cHL4","cHL5","cHL6","cHL7","cHL8","cHL9","cHL10","cHL11","cHL12","NLPHL1","NLPHL2","NLPHL3","NLPHL4","NLPHL5","CB1","CB2","CB3","CB4","CB5"
"ADA",6.33710619289967,6.04806533809173,6.54798262077131,6.58790348249962,7.10970811491036,7.14818410315613,5.76233719271636,4.46750419013895,7.50848505005782,6.61355378999957,7.09943220403462,6.84928739927478,8.78628707677121,8.95784742238605,9.3928904359212,8.48956194006966,8.23999973374558,9.06220108955443,8.89903662946165,8.87915984939484,9.02572471214935,8.63298778303465
"AKT3",2.64256686019919,3.46571073245698,4.70007799616032,4.21706609586468,5.4336398242042,3.27039662255507,3.29113253966202,3.01719815063948,3.09249384367113,3.21401101460357,2.4792345919432,4.24444961711738,4.14721691094817,3.53681816206077,3.87026202894331,4.32924993204358,5.68136142171459,2.56196491299692,2.87869611279717,2.06919004348401,2.26355805899545,2.34740131719739
"MED6",2.69335293368155,2.9163291902485,2.25522573180282,2.74449370627867,2.94610957119633,2.86588112298178,2.50033653495841,4.37565311728815,2.12998963499887,2.87718229324076,4.31186509021385,2.2410656540299,2.86703730462914,2.83472626538039,3.0639214308061,2.65858273857355,2.71401567263138,5.02807391483824,3.66814414656981,4.83830640447873,4.8189262204085,4.45017425696312
"ABI1",4.81450169377342,4.28248126676419,4.85233411635955,5.33542734239145,5.60327739572846,2.83881902110124,3.82062259172195,3.78624954540276,4.28025537778552,2.5891258753606,3.59867710232024,5.09087062760122,4.71049434988414,5.48599582855095,5.81385490230161,4.86235654271321,5.06604220540647,6.78357344933579,5.75486072183956,6.56641239188839,6.59690887183273,6.28236576060807
"GNPDA1",4.03999148205984,5.90504703809806,5.12490742548302,6.42434552668603,6.7037618396868,5.59094821801886,5.18161695516634,5.36529968660586,7.44700418703773,4.78605139588449,5.50558060412124,5.5325759041087,5.36524184209649,6.3861681732235,6.98317751663282,6.082888396773,5.6639165314303,3.08878789979932,2.5109783250244,2.25174721669264,2.69255267621224,2.55930649090991
"KCNE3",3.13100231561496,2.98204937102952,3.30610345532233,2.63762624692026,2.8735316334344,2.94450448363166,2.7041420374973,2.96928778631891,3.8534896998033,3.39891848509941,3.26062647300917,3.84069959671926,3.20469245046863,4.12101322235679,4.86067826119959,4.27170969474942,3.65476652054694,2.33269731704825,2.31349033762306,2.51600380328128,2.32961628956329,2.47305226382903
"ZBTB33",4.58692634417377,5.89713443073496,3.94827057910114,4.83380315005003,5.4661533146309,2.78571417353243,4.92197246976055,3.05820279649472,3.9917188095209,3.43960870180897,3.35945174923886,5.41638928973886,5.43272684326336,5.87337169536616,6.04912183410218,5.15195160659212,5.97610206904757,5.37455298659479,5.08321255361877,5.20594665861441,5.26851347511812,5.01918386693425
"TANK",2.86662562292884,3.58745353662477,4.08384381269431,2.9613169479482,3.55079368979883,1.98118887768369,2.8443250574453,1.33997561280829,1.78914857100812,1.31197433847534,2.14817713827381,3.44253689595213,2.69026779509189,3.28704297169479,2.90248961816538,3.19063543777635,4.36818627388165,4.29447674738768,3.42615186965853,3.89760066996526,4.06346700352194,4.009488810397
"ZBTB42",3.46021997254669,4.04996025470813,4.26038025683366,3.04642849017824,4.03807873861618,4.41837013116407,4.13158602345088,3.54800866220665,5.62699081719038,3.58179673062693,3.93215477065708,3.54165018450929,3.03446741031473,4.12510946208505,3.33814492761317,4.36056175228466,3.83711934294927,2.54360931621191,2.7019727350849,3.09077926037197,2.68032663472619,2.74270696393409
"GABPB1-AS1",2.89119063827135,3.22192492948953,2.63950915172869,4.09103153382727,4.14149917803059,3.04666553663534,2.82000809412572,2.52801891471627,1.99656277331646,2.2385932984289,2.49153846439136,2.49302013202274,3.70549943878378,3.56461632599146,3.00538074191175,3.73607109003287,4.15159408153948,4.58348352129117,4.02046367650772,3.54955718342139,3.92073948853259,4.37061768677691
"TSTD1",7.4414946555405,5.30647936484385,6.78534377113184,5.54516666184202,6.99202693996701,6.54355232483367,6.80866549196368,5.63545982535136,6.94792920035215,5.77635553759401,6.7744606578637,6.23338401119769,6.1424814023553,6.5293135787471,5.12109657864333,6.2242993077731,6.28712675504641,5.13848583842076,4.82111359398396,5.56374525734861,5.63381071724064,5.04550141726168
"CCDC18-AS1",5.47933444914682,5.85371543691078,6.19382526635336,6.45789620573679,6.45838656025729,6.61015958002854,4.86453415192803,6.10313581609673,5.08738466729744,6.10881110913613,5.96643961281519,6.94765980226434,6.28124328930267,5.08930007459225,5.73726488120434,7.14803623371641,7.30594806338213,7.63204780757871,7.13239961691786,7.58026815087642,8.57357178099992,7.6680174155801
"CD24",3.18570035686176,5.80021002363547,3.87150502308966,2.81434726897352,6.81013857815296,4.61443682292513,3.4506744992801,4.82833671277204,2.75057223701289,4.97345129409147,4.37516966367854,5.70404946025852,5.34276005514127,5.55949753707998,5.46122905387604,6.13652923612367,5.06985037405459,6.85748014846377,6.71223616428579,6.72959191982805,6.09759095827419,6.2253304615595
"C17orf99",5.1716741475113,9.32464961553213,4.59584448836768,6.17453273076739,5.73539990562716,5.40210743330186,2.82031376864496,7.37601257309356,4.4565535981828,6.91364073806203,5.31052379082659,6.18236265004894,9.2019179820736,7.46865438705876,5.99039438308444,8.62055689176931,9.80885749006771,6.08388839972972,7.44332286332243,7.74445977369368,7.01492551497367,6.73440456735932
"PDCD6IP",3.67521415075066,4.11098141037492,5.72148885543661,5.08441101723161,5.59799382150188,3.76431158019283,4.77030995001978,3.0228074934048,4.00955382064042,4.3489835615331,3.67473192541813,5.05887539622478,4.41567610323836,5.54961664318289,5.90023133741212,5.63185653542889,5.86418279035258,5.53946219044882,4.73351741550008,5.68980435255167,6.6164940730882,6.32247652111206
